Carimbo de data/hora;Título;Descrição;Data;Ficheiros;Tipo
9/28/2024 22:41:19;;O ano iniciou - se com o jogo da 1/2 final do Campeonato Nacional da Divisão de Honra Feminina (1°mão), no dia 6 de janeiro, em que três das nossas atletas jogaram em parceria com Sporting. Este jogo foi contra o Sport CP/CRAV no Estádio de Rugby de Arcos de Valdevez.;06/01/2024;https://drive.google.com/open?id=19Qm-Kv-VKsIg9lrjIrIlR_989s2lllze;Jogo
9/28/2024 22:44:13;;No dia 28 de janeiro os nossos seniores jogaram juntamente com os Dark Horses Rugby contra o Sporting Rugby no Regimento de Artilharia Anti - Aeria n°1 (RAAAN1) em Queluz - Belas;28/01/2024;https://drive.google.com/open?id=1G65AzOeiCoLsHVCripOji4ld_VX_k0nx;Jogo
9/28/2024 22:46:39;;Também no dia 14 de janeiro os Sub16, tiveram um jogo de treino contra a agronomia no estádio da cidade universitária ;14/01/2024;https://drive.google.com/open?id=1kSVoQ-JNhk9OwYmOjZTzzPk7bd6YNzLH;Jogo
9/28/2024 22:52:49;;No dia 14/01 os Seniores masculinos jogaram no Regimento de Artilharia Anti-Aérea Nº1  contra o Belas RC. ;14/01/2024;https://drive.google.com/open?id=1A64411YkJUrfhtP8grjP5W_S6SKuYw-T;Jogo
9/28/2024 22:55:15;;Ainda no dia 14/01, as nossas Seniores Femininas disputaram, pelo Sporting, a Taça Ibérica, em Madrid.;14/01/2024;https://drive.google.com/open?id=1b_nEfy25U2bNn2KXEEbs7ekpgoyqxPzz;Jogo
9/28/2024 22:57:54;;No dia 20/01 a associação esteve presente no Forum das Juventudes Sintra II na Casa da Juventude, na Tapada das Mercês.;20/01/2024;https://drive.google.com/open?id=1Zf1X3mMUTUYw1zbI-6Wf4j4gsRcJaw6a, https://drive.google.com/open?id=1_imjprgeAfE-BJ_hWBkVmrgWXoWhqd5-;Atividade
9/28/2024 23:01:06;;No dia 21/01 as Seniores Femininas tiveram a 2°mão das 1/2s finais do Campeonato Nacional da Divisão de Honra Feminina, no Estádio Universitário de Lisboa contra o Sport CP/Crave. Neste mesmo dia, no campo do St.Julians os nossos sub14 tiveram mais do campeonato.;21/01/2024;https://drive.google.com/open?id=1WPN38vKxQ90mwpCMNrWxhPEO17w7wCHe;Jogo
9/28/2024 23:05:55;;Entre os dias 29/01 ao dia 02/02 a Academia Ubuntu Rugby esteve a dar aulas de introdução ao Rugby na Escola Básica Piloto e N a Escola Básica n°2 ambas em Mem-Martins, já no dia 06/02 este presente na Escola Básica Serra das Minas n°1.;29/01/2024;https://drive.google.com/open?id=1tNoatnRfelVNaz-k2esdtEt4snai7NoW;Atividade
9/28/2024 23:11:54;;Também no dia 21/01 os sub 14 tiveram jogo ;21/01/2024;https://drive.google.com/open?id=1GoXspsPHcUfZM262v2G9EwGUUPg6M9XB;Jogo
9/28/2024 23:14:51;;No dia 27/01 os nossos escalões de formação (Sub8/10/12 ) marcaram presença juntamente com o Benfica Rugby no convívio organizado pelo Belenenses Rugby, no Joaquim Chaves Saúde Rugby Park.;27/01/2024;https://drive.google.com/open?id=1YD0Lfh0XFLqgOwvkJyWv0cw4vd7qAn9Z;Jogo
